GelIndex,x_um,y_um,diameter_um,R_uM,G_uM,B_uM,C_uM,M_uM,Y_uM,target_R8,target_G8,target_B8,FG_at_gel,p_all_off,phys_intensity_uM
1,254.7,1074.72,30.0,4.0,4.0,0.01,4.0,4.0,4.0,205,218,147,1,0.001,3.99
2,654.34,932.01,30.0,4.0,0.01,0.01,4.0,4.0,4.0,251,138,96,1,0.0,3.99
4,453.5,829.27,30.0,4.0,4.0,0.01,4.0,4.0,4.0,252,236,114,1,0.355,3.99
5,616.66,1094.23,30.0,4.0,0.01,4.0,4.0,4.0,4.0,221,144,239,1,0.0,3.99
6,658.77,1109.23,30.0,0.01,0.01,4.0,0.01,0.01,0.01,63,53,171,1,0.912,3.99
7,111.73,1020.91,30.0,0.01,0.01,0.01,4.0,0.01,0.01,15,119,167,1,0.997,3.99
11,912.81,637.67,30.0,0.01,0.01,4.0,0.01,4.0,0.01,133,89,195,1,0.0,3.99
12,472.2,467.58,30.0,0.01,0.01,0.01,4.0,0.01,0.01,70,112,100,1,0.999,3.99
13,326.27,790.6,30.0,0.01,0.01,0.01,4.0,0.01,0.01,37,120,143,1,1.0,3.99
14,468.41,863.26,30.0,0.01,0.01,0.01,0.01,0.01,4.0,247,194,86,1,0.484,3.99
15,559.16,658.38,30.0,4.0,0.01,0.01,0.01,0.01,4.0,249,184,44,1,0.473,3.99
16,808.37,757.91,30.0,0.01,0.01,0.01,4.0,4.0,4.0,235,205,248,1,0.0,3.99
17,424.34,801.22,30.0,0.01,0.01,0.01,0.01,0.01,4.0,250,235,91,1,0.334,3.99
18,489.27,1075.54,30.0,4.0,0.01,0.01,4.0,4.0,4.0,248,208,179,1,0.996,3.99
20,298.44,933.41,30.0,0.01,0.01,0.01,4.0,0.01,0.01,84,161,162,1,0.621,3.99
21,304.42,465.24,30.0,4.0,0.01,0.01,0.01,0.01,4.0,249,146,24,1,0.0,3.99
22,379.6,986.46,30.0,0.01,0.01,0.01,4.0,0.01,0.01,46,157,178,1,1.0,3.99
23,765.75,747.54,30.0,4.0,0.01,0.01,0.01,0.01,0.01,248,93,81,1,0.0,3.99
26,379.62,1105.75,30.0,4.0,0.01,0.01,0.01,0.01,4.0,237,123,34,1,0.984,3.99
27,283.11,1105.0,30.0,4.0,4.0,0.01,4.0,4.0,4.0,222,229,140,1,0.196,3.99
28,577.78,704.27,30.0,4.0,0.01,0.01,0.01,0.01,0.01,177,74,24,1,0.997,3.99
29,724.2,920.15,30.0,4.0,0.01,4.0,4.0,4.0,4.0,199,128,223,1,0.0,3.99
30,334.66,508.49,30.0,4.0,0.01,0.01,0.01,0.01,4.0,249,159,37,1,0.0,3.99
31,508.19,757.3,30.0,4.0,0.01,0.01,0.01,0.01,4.0,244,149,27,1,0.622,3.99
35,636.77,311.34,30.0,0.01,0.01,0.01,0.01,0.01,4.0,250,219,78,1,0.301,3.99
36,196.69,1108.26,30.0,0.01,0.01,0.01,4.0,0.01,0.01,28,107,105,1,1.0,3.99
