Experimental instructions
EXPORT_RULE_MODE strict
Global RNase_U_per_mL 9.572
Hydrogel diameter_um 30.0
Field_of_view_um 1200.0 1200.0
Num_gels_total 100
Num_gels_exported 82

Rule quantization palette levels (lvl -> uM):
  lvl0 = 0.010 uM
  lvl1 = 1.340 uM
  lvl2 = 2.670 uM
  lvl3 = 4.000 uM

Optimized learned palette (per channel, lvl0..lvl3 in uM):
  R: 0.010 0.205 3.969 4.000
  G: 0.010 0.205 3.969 4.000
  B: 0.010 0.205 3.969 4.000
  C: 0.010 0.205 3.969 4.000
  M: 0.010 0.205 3.969 4.000
  Y: 0.010 0.205 3.969 4.000


Post-processing applied:
  (1) Removed fully-OFF gels where all channels == 0.010 uM (tol=1e-06).
  (2) Proximity prune enforced: no two gels within 30.0 µm.
  (3) Verification: min remaining distance = 30.709 µm; constraint_ok = 1.

GelIndex x_um y_um diameter_um R_uM G_uM B_uM C_uM M_uM Y_uM target_R8 target_G8 target_B8 FG_at_gel p_all_off phys_intensity_uM
1 254.70 1074.72 30.0 0.010 0.010 2.670 0.010 0.010 2.670 205 218 147 1 0.001 2.660
2 654.34 932.01 30.0 0.010 0.010 0.010 0.010 1.340 2.670 251 138 96 1 0.000 2.660
4 453.50 829.27 30.0 0.010 0.010 1.340 0.010 0.010 4.000 252 236 114 1 0.355 3.990
5 616.66 1094.23 30.0 0.010 0.010 2.670 0.010 1.340 2.670 221 144 239 1 0.000 2.660
6 658.77 1109.23 30.0 0.010 0.010 2.670 0.010 0.010 1.340 63 53 171 1 0.912 2.660
7 111.73 1020.91 30.0 0.010 0.010 1.340 1.340 0.010 0.010 15 119 167 1 0.997 1.330
11 912.81 637.67 30.0 0.010 0.010 2.670 0.010 1.340 1.340 133 89 195 1 0.000 2.660
12 472.20 467.58 30.0 0.010 0.010 1.340 0.010 0.010 1.340 70 112 100 1 0.999 1.330
13 326.27 790.60 30.0 0.010 0.010 1.340 1.340 0.010 0.010 37 120 143 1 1.000 1.330
14 468.41 863.26 30.0 0.010 0.010 0.010 0.010 1.340 2.670 247 194 86 1 0.484 2.660
